dataset,lags,horizon,instance_normalize,remove_constant,stride,seed,model,setting,range,covariate_mode,metric,value,reference_model,reference_value,improvement_pct
time/coastal_t_s_h_part07,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,469850849295887.75,chronos2/none,469850849295887.75,0.0
time/coastal_t_s_h_part07,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,469850849295887.5,ts_icl/none,469850849295887.8,6.651046826206834e-14
time/coastal_t_s_h_part07,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,469850849295887.8,ts_icl/none,469850849295887.8,0.0
time/coastal_t_s_h_part07,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.005641894546448612,chronos2/none,0.3723163204113613,98.48465021887435
time/coastal_t_s_h_part07,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,0.3723163204113613,chronos2/none,0.3723163204113613,0.0
time/coastal_t_s_h_part07,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.005484803385479608,ts_icl/none,0.36995296439963565,98.5174322378034
time/coastal_t_s_h_part07,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.36995296439963565,ts_icl/none,0.36995296439963565,0.0
time/coastal_t_s_h_part07,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.004428477213828804,chronos2/none,0.774544852070115,99.42824780230701
time/coastal_t_s_h_part07,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,0.774544852070115,chronos2/none,0.774544852070115,0.0
time/coastal_t_s_h_part07,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.002242890534868517,ts_icl/none,0.6902679111866443,99.67506956378534
time/coastal_t_s_h_part07,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,0.6902679111866443,ts_icl/none,0.6902679111866443,0.0
time/coastal_t_s_h_part08,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.006597500872995817,chronos2/none,1.2822942119656187,99.48549242354588
time/coastal_t_s_h_part08,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,1.2822942119656187,chronos2/none,1.2822942119656187,0.0
time/coastal_t_s_h_part08,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.0033325536977358615,ts_icl/none,1.288324079730294,99.74132644493974
time/coastal_t_s_h_part08,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,1.288324079730294,ts_icl/none,1.288324079730294,0.0
time/coastal_t_s_h_part08,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.010291832937703778,chronos2/none,1.9830574259161948,99.48101185557202
time/coastal_t_s_h_part08,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,1.9830574259161948,chronos2/none,1.9830574259161948,0.0
time/coastal_t_s_h_part08,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.0018979914649510951,ts_icl/none,1.8956913203001022,99.89987866459974
time/coastal_t_s_h_part08,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,1.8956913203001022,ts_icl/none,1.8956913203001022,0.0
time/coastal_t_s_h_part08,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.008094665431417524,chronos2/none,1.6377504621942838,99.50574488493368
time/coastal_t_s_h_part08,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,1.6377504621942838,chronos2/none,1.6377504621942838,0.0
time/coastal_t_s_h_part08,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.002562331252011063,ts_icl/none,1.5532365769147873,99.8350327767132
time/coastal_t_s_h_part08,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,1.5532365769147873,ts_icl/none,1.5532365769147873,0.0
time/coastal_t_s_h_part09,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.012865507853513753,chronos2/none,1.2750924263488164,98.99101370319062
time/coastal_t_s_h_part09,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,1.2750924263488164,chronos2/none,1.2750924263488164,0.0
time/coastal_t_s_h_part09,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.0011676799965216285,ts_icl/none,1.3233275697989897,99.91176183258247
time/coastal_t_s_h_part09,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,1.3233275697989897,ts_icl/none,1.3233275697989897,0.0
time/coastal_t_s_h_part09,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.008990898820091828,chronos2/none,1.2926644597089652,99.30446770215094
time/coastal_t_s_h_part09,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,1.2926644597089652,chronos2/none,1.2926644597089652,0.0
time/coastal_t_s_h_part09,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.0003394261471619371,ts_icl/none,1.2558653894247431,99.9729727286045
time/coastal_t_s_h_part09,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,1.2558653894247431,ts_icl/none,1.2558653894247431,0.0
time/coastal_t_s_h_part09,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.005612255543625603,chronos2/none,1.388463498155276,99.59579380004718
time/coastal_t_s_h_part09,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,1.388463498155276,chronos2/none,1.388463498155276,0.0
time/coastal_t_s_h_part09,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.00031725865252762254,ts_icl/none,1.2065221279859544,99.97370469673382
time/coastal_t_s_h_part09,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,1.2065221279859544,ts_icl/none,1.2065221279859544,0.0
time/coastal_t_s_h_part10,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.010504577007271688,chronos2/none,1.1853733953144965,99.11381704290027
time/coastal_t_s_h_part10,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,1.1853733953144965,chronos2/none,1.1853733953144965,0.0
time/coastal_t_s_h_part10,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.04627598642323529,ts_icl/none,1.09039370534998,95.75602957022002
time/coastal_t_s_h_part10,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,1.09039370534998,ts_icl/none,1.09039370534998,0.0
time/coastal_t_s_h_part10,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.011532569926754204,chronos2/none,0.8147859463863301,98.58458899814087
time/coastal_t_s_h_part10,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,0.8147859463863301,chronos2/none,0.8147859463863301,0.0
time/coastal_t_s_h_part10,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.0005306648369393466,ts_icl/none,0.7920196183928938,99.93299852369617
time/coastal_t_s_h_part10,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.7920196183928938,ts_icl/none,0.7920196183928938,0.0
time/coastal_t_s_h_part10,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,2.1946390547886647,chronos2/none,13.803662445147832,84.10103794185355
time/coastal_t_s_h_part10,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,13.803662445147832,chronos2/none,13.803662445147832,0.0
time/coastal_t_s_h_part10,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,2.117485949954668,ts_icl/none,13.59316552951932,84.42242209619037
time/coastal_t_s_h_part10,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,13.59316552951932,ts_icl/none,13.59316552951932,0.0
time/coastal_t_s_h_part11,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.014516940513262355,chronos2/none,0.7991442358960216,98.18343925149063
time/coastal_t_s_h_part11,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,0.7991442358960216,chronos2/none,0.7991442358960216,0.0
time/coastal_t_s_h_part11,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.01580673394728649,ts_icl/none,0.8429936945473552,98.12492856713787
time/coastal_t_s_h_part11,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,0.8429936945473552,ts_icl/none,0.8429936945473552,0.0
time/coastal_t_s_h_part11,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.02940627407588181,chronos2/none,1.068552407688306,97.24802696954293
time/coastal_t_s_h_part11,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,1.068552407688306,chronos2/none,1.068552407688306,0.0
time/coastal_t_s_h_part11,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.07207186036680469,ts_icl/none,0.955564543857084,92.45766695404053
time/coastal_t_s_h_part11,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.955564543857084,ts_icl/none,0.955564543857084,0.0
