dataset,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
time/coastal_t_s_h_part08,chronos2,nmse,1.8104054868221282,1.8104054868221282,0.0,2,chronos2
time/coastal_t_s_h_part08,chronos_bolt,nmse,1.9381445859869322,1.8104054868221282,-6.9894148125125035,2,chronos2
time/coastal_t_s_h_part08,chronos_t5,nmse,5.28502424309651,1.8104054868221282,-194.70959843910845,2,chronos2
time/coastal_t_s_h_part08,ts_icl,nmse,1.7244692725439865,1.8104054868221282,4.782766516368551,2,chronos2
time/coastal_t_s_h_part09,chronos2,nmse,1.3405643781477754,1.3405643781477754,0.0,2,chronos2
time/coastal_t_s_h_part09,chronos_bolt,nmse,1.28937462778254,1.3405643781477754,3.8965912769271154,2,chronos2
time/coastal_t_s_h_part09,chronos_t5,nmse,3.900355322929946,1.3405643781477754,-189.66431143120911,2,chronos2
time/coastal_t_s_h_part09,ts_icl,nmse,1.231195764988661,1.3405643781477754,7.9751582664956,2,chronos2
time/coastal_t_s_h_part10,chronos2,nmse,7.309238682122845,7.309238682122845,0.0,2,chronos2
time/coastal_t_s_h_part10,chronos_bolt,nmse,7.449124870009043,7.309238682122845,-8.39040570189281,2,chronos2
time/coastal_t_s_h_part10,chronos_t5,nmse,14.271346791607863,7.309238682122845,-488.1066299480689,2,chronos2
time/coastal_t_s_h_part10,ts_icl,nmse,7.192595800531633,7.309238682122845,2.1596615438787925,2,chronos2
time/coastal_t_s_h_part11,chronos2,nmse,1.5438115754384651,1.5438115754384651,0.0,2,chronos2
time/coastal_t_s_h_part11,chronos_bolt,nmse,1.4382534629529498,1.5438115754384651,8.786490232177446,2,chronos2
time/coastal_t_s_h_part11,chronos_t5,nmse,2.594400583129997,1.5438115754384651,-79.3155853100468,2,chronos2
time/coastal_t_s_h_part11,ts_icl,nmse,1.4346047519428087,1.5438115754384651,7.89770281687947,2,chronos2
time/coastal_t_s_h_part12,chronos2,nmse,1.1424619050907225,1.1424619050907225,0.0,2,chronos2
time/coastal_t_s_h_part12,chronos_bolt,nmse,1.4625094098233535,1.1424619050907225,-46.757127197938075,2,chronos2
time/coastal_t_s_h_part12,chronos_t5,nmse,2.346915821013816,1.1424619050907225,-166.8738366428717,2,chronos2
time/coastal_t_s_h_part12,ts_icl,nmse,1.2414648178689982,1.1424619050907225,-10.619078665974799,2,chronos2
time/coastal_t_s_h_part13,chronos2,nmse,0.4954058408329729,0.4954058408329729,0.0,2,chronos2
time/coastal_t_s_h_part13,chronos_bolt,nmse,1.1280715606127933,0.4954058408329729,-132.58926064791513,2,chronos2
time/coastal_t_s_h_part13,chronos_t5,nmse,2.673645173102462,0.4954058408329729,-501.62101191866026,2,chronos2
time/coastal_t_s_h_part13,ts_icl,nmse,0.5326788635402746,0.4954058408329729,-9.994923150664588,2,chronos2
time/coastal_t_s_h_part14,chronos2,nmse,1206.979304136551,1206.979304136551,0.0,2,chronos2
time/coastal_t_s_h_part14,chronos_bolt,nmse,1207.625779491852,1206.979304136551,-5.297566107351476,2,chronos2
time/coastal_t_s_h_part14,chronos_t5,nmse,1203.1775405321332,1206.979304136551,-707.2427866493292,2,chronos2
time/coastal_t_s_h_part14,ts_icl,nmse,1206.1647308492754,1206.979304136551,6.377134900116509,2,chronos2
time/coastal_t_s_h_part15,chronos2,nmse,0.8556126505826358,0.8556126505826358,0.0,2,chronos2
time/coastal_t_s_h_part15,chronos_bolt,nmse,0.9916611662893384,0.8556126505826358,-15.882502574295895,2,chronos2
time/coastal_t_s_h_part15,chronos_t5,nmse,3.045823009844214,0.8556126505826358,-255.8933470639708,2,chronos2
time/coastal_t_s_h_part15,ts_icl,nmse,0.7760132655363392,0.8556126505826358,9.320285074365326,2,chronos2
time/coastal_t_s_h_part16,chronos2,nmse,142.75098795096466,142.75098795096466,0.0,2,chronos2
time/coastal_t_s_h_part16,chronos_bolt,nmse,142.47724420052924,142.75098795096466,11.911906596248198,2,chronos2
time/coastal_t_s_h_part16,chronos_t5,nmse,148.93364759876894,142.75098795096466,-194.8510058032573,2,chronos2
time/coastal_t_s_h_part16,ts_icl,nmse,142.43381145627262,142.75098795096466,10.654266728462764,2,chronos2
time/coastal_t_s_h_part17,chronos2,nmse,1.9914800193499436,1.9914800193499436,0.0,2,chronos2
time/coastal_t_s_h_part17,chronos_bolt,nmse,1.9552138685389902,1.9914800193499436,2.6957628231323905,2,chronos2
time/coastal_t_s_h_part17,chronos_t5,nmse,2.8849043571249102,1.9914800193499436,-77.45682388985792,2,chronos2
time/coastal_t_s_h_part17,ts_icl,nmse,1.6559452145501519,1.9914800193499436,16.862734512838916,2,chronos2
time/coastal_t_s_h_part18,chronos2,nmse,0.6909398516817462,0.6909398516817462,0.0,2,chronos2
time/coastal_t_s_h_part18,chronos_bolt,nmse,0.8703374803243649,0.6909398516817462,-21.19215621515529,2,chronos2
time/coastal_t_s_h_part18,chronos_t5,nmse,1.0912544803605193,0.6909398516817462,-54.61127696630257,2,chronos2
time/coastal_t_s_h_part18,ts_icl,nmse,0.6960854642093182,0.6909398516817462,-1.623082689653768,2,chronos2
time/coastal_t_s_h_part19,chronos2,nmse,0.7651491616542141,0.7651491616542141,0.0,2,chronos2
time/coastal_t_s_h_part19,chronos_bolt,nmse,0.893503590207547,0.7651491616542141,-16.651390821321765,2,chronos2
time/coastal_t_s_h_part19,chronos_t5,nmse,1.1602788521597782,0.7651491616542141,-50.25721432245695,2,chronos2
