dataset,lags,horizon,setting,metric,best_baseline,best_baseline_value,chronos_value,chronos_win_pct,tie_pct,windows
time/current_velocity_h_part13,168,24,168:24,mse,persistence,8.262605691031304,5.685724229877065,77.77777777777779,0.0,36
time/current_velocity_h_part13,168,24,168:24,mae,persistence,1.0273565983807202,0.7521574751525704,72.22222222222221,0.0,36
time/current_velocity_h_part13,168,24,168:24,nmse,repeat,1.280116850950031,0.5702045060655413,86.11111111111111,0.0,36
time/current_velocity_h_part13,168,24,168:24,nmae,repeat,0.7812903312345346,0.502326433857282,86.11111111111111,0.0,36
time/current_velocity_h_part13,168,24,168:24,mase,persistence,3.047525526748763,2.0504779145121574,72.22222222222221,0.0,36
time/current_velocity_h_part13,336,48,336:48,mse,repeat,7.070123584321992,6.355902972036934,94.44444444444444,0.0,36
time/current_velocity_h_part13,336,48,336:48,mae,expected,0.9515675067668781,0.8222646632380525,72.22222222222221,0.0,36
time/current_velocity_h_part13,336,48,336:48,nmse,expected,1.2228512807438772,0.783866925837679,72.22222222222221,0.0,36
time/current_velocity_h_part13,336,48,336:48,nmae,expected,0.828557671358188,0.6141913967827956,72.22222222222221,0.0,36
time/current_velocity_h_part13,336,48,336:48,mase,persistence,4.446274823612637,3.2531035956409244,69.44444444444444,0.0,36
time/current_velocity_h_part13,504,168,504:168,mse,persistence,6.938517044038854,5.3717039352979,75.0,0.0,36
time/current_velocity_h_part13,504,168,504:168,mae,expected,0.9524787439020455,0.7949406628645698,69.44444444444444,0.0,36
time/current_velocity_h_part13,504,168,504:168,nmse,expected,1.392235302262836,1.0608639762633376,69.44444444444444,0.0,36
time/current_velocity_h_part13,504,168,504:168,nmae,expected,0.9022838547825813,0.7395880251295037,69.44444444444444,0.0,36
time/current_velocity_h_part13,504,168,504:168,mase,persistence,5.711220468084018,4.998545391692056,77.77777777777779,0.0,36
time/current_velocity_h_part14,168,24,168:24,mse,persistence,4.5589454980355795,3.8018050396119936,60.0,0.0,30
time/current_velocity_h_part14,168,24,168:24,mae,persistence,0.7516285930139323,0.6530999662276978,60.0,0.0,30
time/current_velocity_h_part14,168,24,168:24,nmse,persistence,0.8578674676983307,0.4842783606921633,60.0,0.0,30
time/current_velocity_h_part14,168,24,168:24,nmae,persistence,0.6629386872053147,0.4940561135609945,60.0,0.0,30
time/current_velocity_h_part14,168,24,168:24,mase,persistence,3.7198420306046804,2.486677489678065,60.0,0.0,30
time/current_velocity_h_part14,336,48,336:48,mse,expected,19.833055852652524,16.929932328965425,66.66666666666666,0.0,30
time/current_velocity_h_part14,336,48,336:48,mae,expected,1.3434083919972182,1.2068965193117038,66.66666666666666,0.0,30
time/current_velocity_h_part14,336,48,336:48,nmse,repeat,1.2056279907623926,0.9731104568966354,73.33333333333333,0.0,30
time/current_velocity_h_part14,336,48,336:48,nmae,repeat,0.7814022203286489,0.6263092348972956,80.0,0.0,30
time/current_velocity_h_part14,336,48,336:48,mase,persistence,3.925399931271871,3.1669587075710295,63.33333333333333,0.0,30
time/current_velocity_h_part14,504,168,504:168,mse,expected,13.832373334804856,12.60080493245126,79.16666666666666,0.0,24
time/current_velocity_h_part14,504,168,504:168,mae,expected,1.3649687981815077,1.1461953729061254,79.16666666666666,0.0,24
time/current_velocity_h_part14,504,168,504:168,nmse,expected,1.8624527727564175,1.3464646562933922,79.16666666666666,0.0,24
time/current_velocity_h_part14,504,168,504:168,nmae,persistence,1.0322368660320838,0.8001212620486816,70.83333333333334,0.0,24
time/current_velocity_h_part14,504,168,504:168,mase,persistence,7.5952994128068285,5.963810004293919,70.83333333333334,0.0,24
time/current_velocity_h_part15,168,24,168:24,mse,repeat,5.935997416195913,4.441877239658884,70.83333333333334,0.0,48
time/current_velocity_h_part15,168,24,168:24,mae,repeat,0.8821274563573146,0.7287775864460855,70.83333333333334,0.0,48
time/current_velocity_h_part15,168,24,168:24,nmse,repeat,1.5387563336019714,1.0479302352759987,70.83333333333334,0.0,48
time/current_velocity_h_part15,168,24,168:24,nmae,repeat,0.8894611143817505,0.7062079201762875,70.83333333333334,0.0,48
time/current_velocity_h_part15,168,24,168:24,mase,persistence,3.956690017133951,3.6821217760443687,64.58333333333334,0.0,48
time/current_velocity_h_part15,336,48,336:48,mse,expected,5.822574981524916,4.231151896053099,78.57142857142857,0.0,42
time/current_velocity_h_part15,336,48,336:48,mae,repeat,0.9583079477167866,0.6799049644864031,85.71428571428571,0.0,42
time/current_velocity_h_part15,336,48,336:48,nmse,persistence,1.2850260202373778,0.6704655374134225,78.57142857142857,0.0,42
time/current_velocity_h_part15,336,48,336:48,nmae,persistence,0.8914270528725216,0.5902053829992101,73.80952380952381,0.0,42
time/current_velocity_h_part15,336,48,336:48,mase,persistence,4.480954851422991,3.229188213745753,73.80952380952381,0.0,42
time/current_velocity_h_part15,504,168,504:168,mse,expected,9.50684136662572,11.75583061053857,66.66666666666666,0.0,42
time/current_velocity_h_part15,504,168,504:168,mae,expected,1.1322734706586093,1.104150228767789,71.42857142857143,0.0,42
time/current_velocity_h_part15,504,168,504:168,nmse,expected,1.289284424412818,1.0679023578053428,66.66666666666666,0.0,42
time/current_velocity_h_part15,504,168,504:168,nmae,expected,0.8942658227114451,0.7532316166020575,71.42857142857143,0.0,42
time/current_velocity_h_part15,504,168,504:168,mase,persistence,5.335239880141758,5.3927896519502,69.04761904761905,0.0,42
time/current_velocity_h_part16,168,24,168:24,mse,expected,6.2562973799150035,4.6689227447028925,72.22222222222221,0.0,36
time/current_velocity_h_part16,168,24,168:24,mae,expected,0.8465370984049514,0.7240061112097465,72.22222222222221,0.0,36
time/current_velocity_h_part16,168,24,168:24,nmse,repeat,0.8325384972203109,0.6880566779938009,52.77777777777778,0.0,36
time/current_velocity_h_part16,168,24,168:24,nmae,repeat,0.6780732236802578,0.6341249781350294,52.77777777777778,0.0,36
time/current_velocity_h_part16,168,24,168:24,mase,repeat,2.1034300211403103,2.0007131149371467,52.77777777777778,0.0,36
time/current_velocity_h_part16,336,48,336:48,mse,repeat,8.494998663156771,6.022980631590826,86.11111111111111,0.0,36
time/current_velocity_h_part16,336,48,336:48,mae,repeat,1.0492028309575592,0.8588161443799941,88.88888888888889,0.0,36
time/current_velocity_h_part16,336,48,336:48,nmse,repeat,1.1119855313251417,0.6411501478610767,86.11111111111111,0.0,36
time/current_velocity_h_part16,336,48,336:48,nmae,repeat,0.7743717539641592,0.5423985371987025,88.88888888888889,0.0,36
time/current_velocity_h_part16,336,48,336:48,mase,persistence,2.8063297834661274,2.054303685824076,83.33333333333334,0.0,36
time/current_velocity_h_part16,504,168,504:168,mse,expected,8.787169555131731,7.155688369697297,90.0,0.0,30
time/current_velocity_h_part16,504,168,504:168,mae,expected,1.0948940133598322,0.9114626488493135,86.66666666666667,0.0,30
time/current_velocity_h_part16,504,168,504:168,nmse,expected,1.5265102048714956,0.6034269373863935,90.0,0.0,30
time/current_velocity_h_part16,504,168,504:168,nmae,expected,0.9651426096757253,0.5975240175922711,86.66666666666667,0.0,30
time/current_velocity_h_part16,504,168,504:168,mase,persistence,5.235500260194143,3.5721029937267303,90.0,0.0,30
time/current_velocity_h_part17,168,24,168:24,mse,repeat,8.845912891167245,6.521145269738024,66.66666666666666,0.0,24
time/current_velocity_h_part17,168,24,168:24,mae,repeat,1.116193694411777,0.9285326546911771,70.83333333333334,0.0,24
time/current_velocity_h_part17,168,24,168:24,nmse,repeat,1.2444292592505615,0.9835361780133098,66.66666666666666,0.0,24
time/current_velocity_h_part17,168,24,168:24,nmae,repeat,0.7807336946328481,0.6717047123238444,70.83333333333334,0.0,24
time/current_velocity_h_part17,168,24,168:24,mase,repeat,3.576877141992251,2.710419222712517,70.83333333333334,0.0,24
time/current_velocity_h_part17,336,48,336:48,mse,expected,12.506448360782846,6.171342256570142,87.5,0.0,24
time/current_velocity_h_part17,336,48,336:48,mae,repeat,1.1519817593119417,0.7686441232120463,95.83333333333334,0.0,24
time/current_velocity_h_part17,336,48,336:48,nmse,repeat,0.6612109603981177,0.34106734332938987,95.83333333333334,0.0,24
time/current_velocity_h_part17,336,48,336:48,nmae,repeat,0.6109608306239048,0.40963749090830487,95.83333333333334,0.0,24
time/current_velocity_h_part17,336,48,336:48,mase,repeat,2.5506673082709312,1.5614063665270805,95.83333333333334,0.0,24
time/current_velocity_h_part17,504,168,504:168,mse,lookback,17.456443034083048,11.57682309903953,87.5,0.0,24
time/current_velocity_h_part17,504,168,504:168,mae,lookback,1.4992437732871622,1.205590176541591,87.5,0.0,24
time/current_velocity_h_part17,504,168,504:168,nmse,expected,1.2051088412602742,0.673702483686308,87.5,0.0,24
time/current_velocity_h_part17,504,168,504:168,nmae,expected,0.8941662758588791,0.5954226932177941,91.66666666666666,0.0,24
