dataset,lags,horizon,covariate_mode,instance_normalize,remove_constant,stride,seed,setting,range,model,metric,value,reference_model,reference_value,improvement_pct
time/coastal_t_s_h_part03,504,168,none,True,False,512,1,504:168,long,expected,nmse,3.9637379911210804,persistence,1.6757027175691392,-136.54183701934213
time/coastal_t_s_h_part03,504,168,none,True,False,512,1,504:168,long,lookback,nmse,3.296937602261702,persistence,1.6757027175691392,-96.74955275148146
time/coastal_t_s_h_part03,504,168,none,True,False,512,1,504:168,long,persistence,nmse,1.6757027175691392,persistence,1.6757027175691392,0.0
time/coastal_t_s_h_part03,504,168,none,True,False,512,1,504:168,long,repeat,nmse,3.296937602261702,persistence,1.6757027175691392,-96.74955275148146
time/coastal_t_s_h_part04,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,0.6931576767252782,persistence,1.3942242010126416,50.28362897288474
time/coastal_t_s_h_part04,168,24,none,True,False,512,1,168:24,short,expected,nmse,1.6175543818240747,persistence,1.3942242010126416,-16.018240154576706
time/coastal_t_s_h_part04,168,24,none,True,False,512,1,168:24,short,lookback,nmse,2.726330408336929,persistence,1.3942242010126416,-95.54461946340933
time/coastal_t_s_h_part04,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.3942242010126416,persistence,1.3942242010126416,0.0
time/coastal_t_s_h_part04,168,24,none,True,False,512,1,168:24,short,repeat,nmse,1.5166256275976757,persistence,1.3942242010126416,-8.779178162029647
time/coastal_t_s_h_part04,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.7016330459099174,expected,1.1423606312809846,38.58042489409478
time/coastal_t_s_h_part04,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.1423606312809846,expected,1.1423606312809846,0.0
time/coastal_t_s_h_part04,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,2.319580707534885,expected,1.1423606312809846,-103.05152716387173
time/coastal_t_s_h_part04,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.2586228636627754,expected,1.1423606312809846,-10.177366866312637
time/coastal_t_s_h_part04,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,1.186994323591651,expected,1.1423606312809846,-3.9071455272943307
time/coastal_t_s_h_part04,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,31.879075503086725,persistence,31.91117078991293,0.10057696421577458
time/coastal_t_s_h_part04,504,168,none,True,False,512,1,504:168,long,expected,nmse,32.311978577946626,persistence,31.91117078991293,-1.256010914398635
time/coastal_t_s_h_part04,504,168,none,True,False,512,1,504:168,long,lookback,nmse,32.691901859746494,persistence,31.91117078991293,-2.4465760751101993
time/coastal_t_s_h_part04,504,168,none,True,False,512,1,504:168,long,persistence,nmse,31.91117078991293,persistence,31.91117078991293,0.0
time/coastal_t_s_h_part04,504,168,none,True,False,512,1,504:168,long,repeat,nmse,32.691901859746494,persistence,31.91117078991293,-2.4465760751101993
time/coastal_t_s_h_part05,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,0.7836240925885832,repeat,0.9761841088161768,19.725788863856025
time/coastal_t_s_h_part05,168,24,none,True,False,512,1,168:24,short,expected,nmse,1.6511987787790787,repeat,0.9761841088161768,-69.14829527203588
time/coastal_t_s_h_part05,168,24,none,True,False,512,1,168:24,short,lookback,nmse,2.958708466627659,repeat,0.9761841088161768,-203.0891857290833
time/coastal_t_s_h_part05,168,24,none,True,False,512,1,168:24,short,persistence,nmse,3.0381038619730716,repeat,0.9761841088161768,-211.22242561983464
time/coastal_t_s_h_part05,168,24,none,True,False,512,1,168:24,short,repeat,nmse,0.9761841088161768,repeat,0.9761841088161768,0.0
time/coastal_t_s_h_part05,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.5538515562716967,expected,1.0083970523033388,45.07604370653287
time/coastal_t_s_h_part05,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.0083970523033388,expected,1.0083970523033388,0.0
time/coastal_t_s_h_part05,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,2.05292679149753,expected,1.0083970523033388,-103.58318053472287
time/coastal_t_s_h_part05,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.5511479040082448,expected,1.0083970523033388,-53.823129536642035
time/coastal_t_s_h_part05,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,1.2707992876187348,expected,1.0083970523033388,-26.021717806099073
time/coastal_t_s_h_part05,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,3.9997505378236786,expected,4.17204387485981,4.129710573619524
time/coastal_t_s_h_part05,504,168,none,True,False,512,1,504:168,long,expected,nmse,4.17204387485981,expected,4.17204387485981,0.0
time/coastal_t_s_h_part05,504,168,none,True,False,512,1,504:168,long,lookback,nmse,5.216703715785924,expected,4.17204387485981,-25.039521928834386
time/coastal_t_s_h_part05,504,168,none,True,False,512,1,504:168,long,persistence,nmse,5.453204005180548,expected,4.17204387485981,-30.708213258274707
time/coastal_t_s_h_part05,504,168,none,True,False,512,1,504:168,long,repeat,nmse,5.216703715785924,expected,4.17204387485981,-25.039521928834386
time/coastal_t_s_h_part06,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,0.39819677653057234,repeat,0.378961826985081,-5.075695802534898
time/coastal_t_s_h_part06,168,24,none,True,False,512,1,168:24,short,expected,nmse,1.2786991067585491,repeat,0.378961826985081,-237.42161233798595
time/coastal_t_s_h_part06,168,24,none,True,False,512,1,168:24,short,lookback,nmse,3.2412384294328236,repeat,0.378961826985081,-755.2941744078157
time/coastal_t_s_h_part06,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.6913387524851022,repeat,0.378961826985081,-346.30847543166584
time/coastal_t_s_h_part06,168,24,none,True,False,512,1,168:24,short,repeat,nmse,0.378961826985081,repeat,0.378961826985081,0.0
time/coastal_t_s_h_part06,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.6659236125470627,repeat,1.1428657280547279,41.73212161322472
time/coastal_t_s_h_part06,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.9947243325767063,repeat,1.1428657280547279,-74.53706796964917
time/coastal_t_s_h_part06,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,3.2133249455974218,repeat,1.1428657280547279,-181.1638206236898
time/coastal_t_s_h_part06,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.3088087924268275,repeat,1.1428657280547279,-14.519909058306554
time/coastal_t_s_h_part06,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,1.1428657280547279,repeat,1.1428657280547279,0.0
time/coastal_t_s_h_part06,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,0.7228759220904775,persistence,1.278011538916164,43.43744950037597
time/coastal_t_s_h_part06,504,168,none,True,False,512,1,504:168,long,expected,nmse,1.4234755842222109,persistence,1.278011538916164,-11.38206040216271
